-XkvqskkAOo	ZAYN - Pillowtalk	Nicki Minaj - Superbass
qm1z3Nw_cwI	Nine Inch Nails - The Hand That Feeds You	Taylor Swift - Look What You Made Me Do
r5vle2rd3Hs	Iggy Azalea - Work	Demi Lovato - Let It Go
rMaeh7a5PVM	Hoobastank - The Reason	Rita Ora ft. Charli XCX, Bebe Rexha & Cardi B - Girls
sE4-3gXrHto	Justin Bieber - Boyfriend	Selena Gomez - Love You Like a Love Song
sVgg31mVMJo	Gym Class Heroes ft. Adam Levine - Stereo Hearts	Renee Rapp - Mad
soS-NAmWplU	Katy Perry - Roar	Lady Gaga - Applause
st1IGj92ir4	Fifth Harmony - Work From Home	Sabrina Carpenter - Please Please Please
tPRnI5q2l4A	Fall Out Boy - Jet Pack Blues	Twenty One Pilots - Ride
t_B4YME7lFc	Lady Gaga - Heavy Metal Lover	Dove Cameron - French Girls
uKcFlaiCH0Y	P!nk - Try	Rihanna - Diamonds
uWxHbEKs704	Kesha - Crazy Kids	Eiffel 65 - Blue (Da Ba Dee)	Britney Spears vs. will.i.am - Big Fat Bass
uiMKGeip_G8	LSD - Genius	Adele - Send My Love (To Your New Lover)	Rihanna - Umbrella	Imagine Dragons - Radioactive	The Killers - Mr. Brightside
urc31U9EChQ	Hole - Celebrity Skin	Demi Lovato - Skin Of My Teeth
ut6-yFCc5SQ	Lady Gaga - Alejandro	Hilary Duff - Lies
uu3iNNl3yTY	Britney Spears - If U Seek Amy	AFI - Miss Murder
vOJOzSAFkg0	The Chainsmokers - Paris	Keala Settle & The Greatest Showman Cast - This Is Me
vPgRi_Kv__Y	Benson Boone - Mystical Magical	Hilary Duff - Come Clean
wPMrt09iN2o	Madonna - Die Another Day	Madison Beer - Yes Baby
wbMTT3SO28c	Kylie Minogue - Padam Padam	JADE - If My Heart Was a House
wpwqRmty-dw	Fifth Harmony - Work From Home	The Chainsmokers ft. Halsey - Closer
xCFJahaYeaQ	Panic! At the Disco - Miss Jackson	Ellie Goulding - On My Mind
xIR09sbzOME	Bebe Rexha & Doja Cat - Baby I'm Jealous	Mya - Case of the Ex (Whatcha Gonna Do)
xQYFGBZslRk	Sia ft. Kendrick Lamar - The Greatest	Ashlee Simpson - L.O.V.E.
xyQMKzA71B4	Justin Timberlake - SexyBack	Dua Lipa - New Rules
y7PvP-b_XLQ	Britney Spears - Break the Ice	Little Mix - Sweet Melody
zq9iAUxs_YY	Ariana Grande - The Way	Demi Lovato - Heart Attack	Selena Gomez - Come & Get It	Maroon 5 - One More Night
